merged_id,match_type,address_score,name_score,city,name,address,lat,lon,rooms_number,ostrovok_ota_hotel_id,ostrovok_master_id,ostrovok_name,ostrovok_address,ostrovok_url,ostrovok_rooms_number,tvil_hotel_id,tvil_name,tvil_address,tvil_url,tvil_rooms_number
54,unmatched_ostrovok,,,Иркутск,Гостиница Империя,"улица Польских Повстанцев, стр. 1а/2, Иркутск",52.291225,104.2827,49,empire_hotel_3,7829344,Гостиница Империя,"улица Польских Повстанцев, стр. 1а/2, Иркутск",https://ostrovok.ru/hotel/russia/irkutsk/mid7829344/empire_hotel_3,49,,,,,
55,unmatched_ostrovok,,,Иркутск,Мини-Отель Good Hotel,"ул Сибирская, стр. 21/2, помещ. 1, Иркутск",52.26237,104.30276,6,miniotel_good_hotel,10013559,Мини-Отель Good Hotel,"ул Сибирская, стр. 21/2, помещ. 1, Иркутск",https://ostrovok.ru/hotel/russia/irkutsk/mid10013559/miniotel_good_hotel,6,,,,,
56,unmatched_ostrovok,,,Хужир,Sunrise,"Первомайская улица, 25А, Хужир",53.196953,107.33776,,gostevoy_dom_sunrise,10485526,Sunrise,"Первомайская улица, 25А, Хужир",https://ostrovok.ru/hotel/russia/irkutsk/mid10485526/gostevoy_dom_sunrise,,,,,,
57,unmatched_ostrovok,,,Иркутск,AZIMUT Отель Аэропорт Иркутск 4*,"ул. Ширямова, 10А, Иркутск",52.27366,104.35384,100,azimut_aeroport_irkutsk_hotel,13317260,AZIMUT Отель Аэропорт Иркутск 4*,"ул. Ширямова, 10А, Иркутск",https://ostrovok.ru/hotel/russia/irkutsk/mid13317260/azimut_aeroport_irkutsk_hotel,100,,,,,
58,unmatched_ostrovok,,,Листвянка,Отель Байкал,"Академическая улица, 13, Листвянка",51.867683,104.83757,72,bajkal_hotel,7965294,Отель Байкал,"Академическая улица, 13, Листвянка",https://ostrovok.ru/hotel/russia/irkutsk/mid7965294/bajkal_hotel,72,,,,,
59,unmatched_ostrovok,,,Иркутск,Премиум-отель Пушкин,"ул. Сухэ-Батора, 18, Иркутск",52.28322,104.28573,46,hotel_premium_hotel_pushkin,13310309,Премиум-отель Пушкин,"ул. Сухэ-Батора, 18, Иркутск",https://ostrovok.ru/hotel/russia/irkutsk/mid13310309/hotel_premium_hotel_pushkin,46,,,,,
60,unmatched_ostrovok,,,Иркутск,Отель Business Hall,"улица Свердлова, д.10, Иркутск",52.282608,104.27683,18,inn_business_hall,8735100,Отель Business Hall,"улица Свердлова, д.10, Иркутск",https://ostrovok.ru/hotel/russia/irkutsk/mid8735100/inn_business_hall,18,,,,,
61,unmatched_ostrovok,,,Листвянка,Байкалия,"Горная улица, 15, Листвянка",51.859745,104.86126,,guest_house_baykaliya,13428580,Байкалия,"Горная улица, 15, Листвянка",https://ostrovok.ru/hotel/russia/irkutsk/mid13428580/guest_house_baykaliya,,,,,,
62,unmatched_ostrovok,,,Никола,Отель Никола,"Иркутская область, Листвянка, Байкальский тракт 64-й км, поселок Никола, улица Ангарская, д. 15, Никола",51.892323,104.82522,27,hotel_nikola_2,8748287,Отель Никола,"Иркутская область, Листвянка, Байкальский тракт 64-й км, поселок Никола, улица Ангарская, д. 15, Никола",https://ostrovok.ru/hotel/russia/irkutsk/mid8748287/hotel_nikola_2,27,,,,,
63,unmatched_ostrovok,,,Иркутск,SAYEN,"ул. Карла Маркса, 13Б, Иркутск",52.282074,104.283806,25,international_hotel_sayen,7384846,SAYEN,"ул. Карла Маркса, 13Б, Иркутск",https://ostrovok.ru/hotel/russia/irkutsk/mid7384846/international_hotel_sayen,25,,,,,
64,unmatched_ostrovok,,,Иркутск,Отель Гостевой Дом Хейвица,"улица Дзержинского, д. 44, Иркутск",52.285812,104.297844,8,kheyvitsa_guest_house,11169967,Отель Гостевой Дом Хейвица,"улица Дзержинского, д. 44, Иркутск",https://ostrovok.ru/hotel/russia/irkutsk/mid11169967/kheyvitsa_guest_house,8,,,,,
65,unmatched_ostrovok,,,Иркутск,Меблированные комнаты в Иркутске,"переулок Алексеева, д.2А, Иркутск",52.263927,104.30125,,apartamentyi_v_irkutske,9993445,Меблированные комнаты в Иркутске,"переулок Алексеева, д.2А, Иркутск",https://ostrovok.ru/hotel/russia/irkutsk/mid9993445/apartamentyi_v_irkutske,,,,,,
