ota_hotel_id,master_id,name,name_en,city,address,latitude,longitude,url,rooms_number,first_seen_date,last_seen_date
hotel_sozvezdie_baikala,8666978,Отель Созвездие Байкала,Sozvezdie Bajkala Hotel,Листвянка,"Улица Партизанская, д.14, Листвянка",51.843994,104.88747,https://ostrovok.ru/hotel/russia/irkutsk/mid8666978/hotel_sozvezdie_baikala,22,2026-03-17,2026-09-10
lazurny_bereg_hotel_,7797591,Гостиница Лазурный берег,Lazurny bereg Hotel,Иркутск,"Байкальская улица, д. 252Б, Иркутск",52.2534,104.33767,https://ostrovok.ru/hotel/russia/irkutsk/mid7797591/lazurny_bereg_hotel_,65,2026-03-17,2026-09-10
gostevoy_dom_briz_3,10622187,Меблированные комнаты БРИЗ,Briz,Листвянка,"улица Гудина,71, Листвянка",51.85018,104.88178,https://ostrovok.ru/hotel/russia/irkutsk/mid10622187/gostevoy_dom_briz_3,16,2026-03-17,2026-08-30
baykal_shale_guest_house,13431413,Байкал Шале,Baykal Shale,Листвянка,"улица Гудина, д.75, Листвянка",51.850624,104.8825,https://ostrovok.ru/hotel/russia/irkutsk/mid13431413/baykal_shale_guest_house,11,2026-03-17,2026-09-09
eko_baikalwood_hotel,8737003,Отель БайкалВуд,BaikalWood Hotel,Хужир,"улица Светлая, д.5, Хужир",53.193813,107.3616,https://ostrovok.ru/hotel/russia/irkutsk/mid8737003/eko_baikalwood_hotel,44,2026-03-17,2026-09-10
hotel_baikal_best_edelweiss,9991110,Отель Байкал Эдельвейс,Baikal Edelweiss Hotel,Байкальск,"микрорайон Красный ключ, д.66, Байкальск",51.51682,104.12468,https://ostrovok.ru/hotel/russia/irkutsk/mid9991110/hotel_baikal_best_edelweiss,10,2026-03-17,2026-09-10
green_hotel_,6518006,Грин Отель,Green Hotel,Иркутск,"улица Лыткина, д. 32, Иркутск",52.267357,104.3167,https://ostrovok.ru/hotel/russia/irkutsk/mid6518006/green_hotel_,22,2026-03-17,2026-09-10
private_house_uedinenny_dom_na_beregu_zhivopisnoy_zavodi,13380749,Байкал 51,Baikal 51,Листвянка,"Иркутский муниципальный округ, Байкальский тракт, 51-й километр, 3, Листвянка",51.972614,104.704056,https://ostrovok.ru/hotel/russia/irkutsk/mid13380749/private_house_uedinenny_dom_na_beregu_zhivopisnoy_zavodi,,2026-03-17,2026-09-10
ozerny_tulun_sports_complex_na_karbysheva_185_apartment,13430623,Спорткомплекс Озерный Тулун на Карбышева 185,Ozerny Tulun Sports Complex na Karbysheva 185,Тулун,"улица Карбышева, д.185, Тулун",54.532337,100.64291,https://ostrovok.ru/hotel/russia/irkutsk/mid13430623/ozerny_tulun_sports_complex_na_karbysheva_185_apartment,,2026-03-17,2026-09-10
bely_bereg,10844916,Отель Белый берег,Bely Bereg Hotel,Братск,"ул. Курчатова 65, Братск",56.157047,101.66097,https://ostrovok.ru/hotel/russia/irkutsk/mid10844916/bely_bereg,5,2026-03-17,2026-09-10
brusinka,6327901,Меблированные комнаты Брусника,Brusnika,Иркутск,"Улица Гоголя, д.61, Иркутск",52.272636,104.257965,https://ostrovok.ru/hotel/russia/irkutsk/mid6327901/brusinka,3,2026-03-17,2026-09-06
uda_2,8752619,Отель УДА,UDA Hotel,Нижнеудинск,"улица Ленина, д.1, Нижнеудинск",54.909504,99.03558,https://ostrovok.ru/hotel/russia/irkutsk/mid8752619/uda_2,45,2026-03-17,2026-09-10
lenatour,8752255,Отель  Ленатур,Lenatur Hotel,Жигалово,"улица Советская, д.26, Жигалово",54.812542,105.151405,https://ostrovok.ru/hotel/russia/irkutsk/mid8752255/lenatour,8,2026-03-17,2026-09-10
